               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10339,            0.054745,                   0,           0.0019469,            0.023873,           0.0008035,          0.00016351,            0.078229,            0.032103,                   0,             0.00054,             0.00054,             0.09514
                   1,            0.082387,            0.042223,                   0,            0.018938,             0.06366,           0.0080439,           0.0015045,            0.069079,            0.029671,                   0,           0.0010898,           0.0010898,             0.09019
                   2,            0.071886,            0.039599,                   0,             0.18023,             0.26525,             0.12259,            0.026957,             0.05964,            0.027724,                   0,           0.0016385,           0.0016385,            0.085239
                   3,            0.068175,            0.034638,                   0,             0.39569,             0.37931,             0.31727,            0.081079,            0.055123,            0.021878,                   0,           0.0021856,           0.0021856,            0.080286
                   4,            0.065344,            0.028619,                   0,             0.39048,             0.43767,             0.35384,            0.083631,            0.055391,            0.017866,                   0,           0.0027303,           0.0027303,             0.07533
                   5,            0.062332,            0.026752,                   0,             0.42521,             0.57294,             0.42946,             0.10102,             0.05274,             0.01684,                   0,           0.0032718,           0.0032718,            0.070372
                   6,            0.060251,            0.025365,                   0,             0.63733,             0.66048,             0.63909,             0.21437,            0.045465,            0.015611,                   0,           0.0038094,           0.0038094,            0.065409
                   7,            0.056043,            0.022861,                   0,             0.67731,             0.67374,             0.67349,             0.20507,            0.047507,             0.01444,                   0,           0.0043424,           0.0043424,            0.060442
                   8,            0.055468,            0.022824,                   0,             0.71051,             0.64456,               0.671,             0.20786,            0.046622,            0.013496,                   0,           0.0048702,           0.0048702,             0.05547
                   9,            0.056581,            0.021366,                   0,             0.66484,             0.66823,             0.62006,             0.20526,            0.046958,            0.014021,                   0,           0.0053919,           0.0053919,            0.050492
                  10,            0.054968,            0.021175,                   0,             0.72835,             0.69761,             0.67893,             0.20249,            0.046501,            0.013826,                   0,            0.005907,            0.005907,            0.045507
                  11,            0.052756,            0.020956,                   0,             0.80989,             0.76127,              0.7761,             0.27817,            0.041532,            0.013934,                   0,           0.0064147,           0.0064147,            0.040515
                  12,            0.052293,            0.020938,                   0,              0.7288,             0.73475,              0.6956,             0.24359,             0.04356,            0.012996,                   0,           0.0069144,           0.0069144,            0.035514
                  13,            0.051056,             0.02096,                   0,             0.74277,             0.76594,             0.72387,              0.2359,            0.046041,            0.013002,                   0,           0.0074054,           0.0074054,            0.030505
                  14,            0.051347,            0.020025,                   0,             0.65435,             0.67109,             0.60537,             0.19108,            0.049138,            0.013304,                   0,           0.0078871,           0.0078871,            0.025487
                  15,            0.053054,            0.021219,                   0,             0.84645,             0.74801,             0.79445,             0.29199,            0.041731,            0.013834,                   0,           0.0083589,           0.0083589,            0.020459
                  16,            0.051145,            0.019927,                   0,             0.76005,             0.76658,             0.77216,             0.27135,             0.04376,            0.012894,                   0,           0.0088201,           0.0088201,             0.01542
                  17,            0.052169,            0.020673,                   0,             0.74618,             0.81167,             0.76197,              0.2633,             0.04148,            0.013759,                   0,           0.0092702,           0.0092702,             0.01037
                  18,            0.049846,            0.020985,                   0,             0.75909,             0.76059,             0.74536,             0.26967,            0.043989,            0.012126,                   0,           0.0092995,           0.0092995,           0.0092995
                  19,            0.049643,            0.021368,                   0,             0.78721,             0.75862,             0.75734,             0.28388,             0.04174,            0.013261,                   0,           0.0092995,           0.0092995,           0.0092995
                  20,            0.047611,            0.019691,                   0,              0.8079,             0.72414,             0.75584,             0.27701,            0.041357,            0.013211,                   0,           0.0092219,           0.0092219,           0.0092219
                  21,            0.047263,            0.019766,                   0,             0.80974,              0.7931,             0.80664,             0.29212,            0.040901,            0.012976,                   0,           0.0091406,           0.0091406,           0.0091406
                  22,            0.046578,            0.021191,                   0,             0.80628,             0.79576,             0.79179,             0.29365,            0.041861,            0.012528,                   0,           0.0090557,           0.0090557,           0.0090557
                  23,            0.047097,            0.019075,                   0,             0.78984,             0.82743,             0.79918,             0.32082,            0.040124,            0.013325,                   0,           0.0089673,           0.0089673,           0.0089673
                  24,            0.046811,            0.019979,                   0,             0.84137,             0.83005,             0.82026,             0.32899,             0.03933,            0.012122,                   0,           0.0088755,           0.0088755,           0.0088755
                  25,            0.045567,            0.019048,                   0,             0.85121,             0.80637,             0.82984,             0.32841,              0.0393,            0.011813,                   0,           0.0087804,           0.0087804,           0.0087804
                  26,            0.044542,            0.018664,                   0,             0.83927,             0.83289,             0.84176,              0.3285,            0.041139,            0.012113,                   0,            0.008682,            0.008682,            0.008682
                  27,             0.04414,            0.019004,                   0,             0.85811,             0.77454,              0.8273,             0.32049,            0.039543,            0.012228,                   0,           0.0085805,           0.0085805,           0.0085805
                  28,            0.043772,            0.019162,                   0,             0.79946,             0.80367,             0.79043,             0.32312,            0.039348,            0.012301,                   0,           0.0084759,           0.0084759,           0.0084759
                  29,            0.044546,            0.018614,                   0,             0.84025,             0.79576,             0.81352,             0.31584,            0.039119,            0.012198,                   0,           0.0083684,           0.0083684,           0.0083684
                  30,            0.043637,            0.017816,                   0,               0.837,             0.79002,             0.80017,             0.31485,            0.038917,            0.012105,                   0,           0.0082581,           0.0082581,           0.0082581
                  31,            0.043218,            0.018239,                   0,             0.80634,             0.84085,             0.83073,             0.29228,            0.039727,            0.012263,                   0,            0.008145,            0.008145,            0.008145
                  32,              0.0433,            0.017893,                   0,             0.81943,             0.79576,             0.81636,             0.34916,            0.038113,            0.011744,                   0,           0.0080294,           0.0080294,           0.0080294
                  33,            0.043476,            0.018674,                   0,             0.80924,             0.81167,             0.81268,             0.35017,            0.038332,            0.012103,                   0,           0.0079112,           0.0079112,           0.0079112
                  34,            0.042626,            0.017705,                   0,             0.87909,             0.77141,             0.82338,              0.3306,            0.038661,            0.012157,                   0,           0.0077907,           0.0077907,           0.0077907
                  35,            0.041795,            0.017472,                   0,             0.76876,             0.75837,             0.77321,             0.32667,            0.039115,            0.012459,                   0,           0.0076679,           0.0076679,           0.0076679
                  36,            0.042194,            0.017731,                   0,              0.8337,             0.77125,             0.80742,             0.32994,             0.03871,             0.01212,                   0,            0.007543,            0.007543,            0.007543
                  37,            0.041406,            0.017161,                   0,             0.81517,             0.79553,             0.81342,             0.35194,            0.037828,            0.011987,                   0,            0.007416,            0.007416,            0.007416
                  38,            0.041985,            0.018092,                   0,             0.86148,             0.79182,              0.8278,             0.34333,            0.038504,            0.012464,                   0,           0.0072872,           0.0072872,           0.0072872
                  39,            0.042119,            0.018649,                   0,             0.85185,             0.85409,             0.87037,             0.37016,            0.037804,            0.011664,                   0,           0.0071566,           0.0071566,           0.0071566
                  40,            0.039955,            0.017632,                   0,             0.81669,             0.80637,             0.82218,             0.33919,            0.038085,            0.011963,                   0,           0.0070243,           0.0070243,           0.0070243
                  41,            0.040033,            0.017764,                   0,             0.79093,             0.79272,             0.79874,             0.34018,            0.037785,            0.011886,                   0,           0.0068906,           0.0068906,           0.0068906
                  42,            0.039082,            0.017328,                   0,              0.8155,             0.80902,              0.8202,             0.34477,             0.03883,            0.011791,                   0,           0.0067555,           0.0067555,           0.0067555
                  43,              0.0395,            0.017298,                   0,             0.80679,             0.81962,             0.80785,             0.34788,            0.037805,            0.011794,                   0,           0.0066191,           0.0066191,           0.0066191
                  44,            0.039423,            0.016986,                   0,             0.83583,             0.81167,             0.83053,             0.35907,            0.037966,            0.011986,                   0,           0.0064816,           0.0064816,           0.0064816
                  45,            0.039014,            0.017294,                   0,              0.8168,             0.79576,             0.81087,             0.33467,            0.039473,            0.012319,                   0,           0.0063432,           0.0063432,           0.0063432
