               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,             0.10335,            0.054766,                   0,           0.0021835,            0.026525,          0.00087708,           0.0001789,            0.078185,            0.032153,                   0,             0.00054,             0.00054,             0.09514
                   1,            0.082368,            0.042222,                   0,             0.01891,            0.045093,           0.0079493,            0.001386,            0.069096,            0.029645,                   0,           0.0010899,           0.0010899,             0.09019
                   2,            0.071861,             0.03958,                   0,              0.1966,             0.26525,             0.12163,            0.027736,            0.059643,             0.02737,                   0,           0.0016394,           0.0016394,            0.085239
                   3,            0.068331,            0.034554,                   0,             0.28195,             0.40849,             0.23749,            0.055401,             0.05892,            0.021506,                   0,           0.0021881,           0.0021881,            0.080288
                   4,            0.065533,            0.028634,                   0,             0.44068,             0.36605,             0.36418,             0.09754,            0.053343,            0.018643,                   0,           0.0027357,           0.0027357,            0.075336
                   5,            0.061946,            0.026763,                   0,             0.58599,             0.61196,             0.57549,             0.17473,            0.048473,            0.016894,                   0,           0.0032819,           0.0032819,            0.070382
                   6,            0.059912,            0.025246,                   0,             0.65892,             0.66048,             0.65143,              0.2356,             0.04577,             0.01651,                   0,           0.0038264,           0.0038264,            0.065426
                   7,            0.056177,            0.022894,                   0,             0.76402,             0.68435,             0.70667,             0.20272,            0.046665,            0.014871,                   0,           0.0043688,           0.0043688,            0.060469
                   8,            0.055614,            0.023114,                   0,             0.75723,             0.76116,             0.73139,              0.2487,            0.044215,            0.013975,                   0,           0.0049089,           0.0049089,            0.055509
                   9,            0.057386,            0.021646,                   0,             0.66484,               0.687,             0.64072,             0.20641,            0.047239,            0.013735,                   0,           0.0054462,           0.0054462,            0.050546
                  10,            0.054124,            0.020895,                   0,             0.73853,             0.71618,             0.70241,             0.23176,             0.04599,            0.013714,                   0,           0.0059806,           0.0059806,            0.045581
